machine_id,timestamp,temperature,vibration,pressure,status_code
M001,2024-05-13T10:00:04Z,65.3,0.02,99.6,AOK
M002,2024-05-13T09:59:58Z,81.2,0.54,101.3,AOK
M003,2024-05-13T10:00:06Z,77.7,0.14,100.5,AOK
M004,2024-05-13T10:00:04Z,86.8,0.36,98.7,WARN
M005,2024-05-13T10:00:08Z,77.9,0.18,100.1,AOK
M006,2024-05-13T10:00:22Z,75.1,0.08,100.3,AOK
M007,2024-05-13T10:00:25Z,67.5,0.10,102.2,AOK
M008,2024-05-13T10:00:25Z,75.9,0.13,100.2,AOK
M009,2024-05-13T10:00:14Z,71.6,0.19,98.8,AOK
M010,2024-05-13T10:00:40Z,70.6,0.04,100.3,AOK
M001,2024-05-13T10:00:55Z,66.3,0.05,99.8,AOK
M002,2024-05-13T10:01:04Z,78.6,0.53,102.3,AOK
M003,2024-05-13T10:01:03Z,73.8,0.16,99.8,AOK
M004,2024-05-13T10:01:06Z,86.9,0.32,99.4,WARN
M005,2024-05-13T10:01:15Z,69.4,0.15,100.2,AOK
M006,2024-05-13T10:01:15Z,74.1,0.07,100.8,AOK
M007,2024-05-13T10:01:06Z,70.5,0.09,103.5,AOK
M008,2024-05-13T10:01:32Z,77.1,0.13,106.3,WARN
M009,2024-05-13T10:01:35Z,74.3,0.15,99.5,AOK
M010,2024-05-13T10:01:25Z,74.5,0.02,100.5,AOK
M001,2024-05-13T10:01:57Z,71.9,0.07,100.5,AOK
M002,2024-05-13T10:02:04Z,79.0,0.55,101.6,WARN
M003,2024-05-13T10:02:10Z,75.4,0.06,101.2,AOK
M004,2024-05-13T10:02:08Z,85.8,0.30,99.0,WARN
M005,2024-05-13T10:02:02Z,76.1,0.60,100.0,WARN
M006,2024-05-13T10:02:23Z,76.7,0.07,100.9,AOK
M007,2024-05-13T10:02:16Z,67.1,0.11,101.2,AOK
M008,2024-05-13T10:02:19Z,80.7,0.15,100.2,AOK
M009,2024-05-13T10:02:22Z,75.0,0.16,99.5,AOK
M010,2024-05-13T10:02:19Z,85.8,0.05,100.5,WARN
M001,2024-05-13T10:03:55Z,68.1,0.01,99.9,AOK
M002,2024-05-13T10:04:04Z,85.7,0.56,101.8,WARN
M003,2024-05-13T10:04:05Z,76.8,0.13,101.1,AOK
M004,2024-05-13T10:04:09Z,85.4,0.28,98.2,WARN
M005,2024-05-13T10:04:16Z,74.2,0.18,99.9,AOK
M006,2024-05-13T10:04:25Z,79.3,0.08,100.3,AOK
M007,2024-05-13T10:04:14Z,67.9,0.10,102.1,AOK
M008,2024-05-13T10:04:31Z,78.4,0.14,98.9,AOK
M009,2024-05-13T10:04:36Z,73.4,0.13,105.3,WARN
M010,2024-05-13T10:04:46Z,72.9,0.01,100.0,AOK
M001,2024-05-13T10:05:01Z,65.6,0.06,98.6,AOK
M002,2024-05-13T10:05:01Z,75.5,0.55,109.8,CRIT
M003,2024-05-13T10:05:05Z,74.5,0.16,99.7,AOK
M004,2024-05-13T10:05:15Z,83.4,0.28,99.2,AOK
M005,2024-05-13T10:05:00Z,71.1,0.17,100.0,AOK
M006,2024-05-13T10:05:15Z,77.0,0.09,100.5,AOK
M007,2024-05-13T10:05:14Z,69.6,0.10,101.6,AOK
M008,2024-05-13T10:05:04Z,75.9,0.13,100.9,AOK
M009,2024-05-13T10:05:08Z,72.8,0.15,99.5,AOK
M010,2024-05-13T10:05:41Z,74.9,0.06,101.2,AOK
M001,2024-05-13T10:07:03Z,69.7,0.67,98.9,WARN
M002,2024-05-13T10:07:05Z,76.9,0.56,101.4,WARN
M003,2024-05-13T10:07:10Z,78.0,0.09,99.2,AOK
M004,2024-05-13T10:07:01Z,83.5,0.24,98.1,AOK
M005,2024-05-13T10:07:21Z,72.5,0.21,100.0,AOK
M006,2024-05-13T10:07:07Z,77.7,0.08,100.7,AOK
M007,2024-05-13T10:07:08Z,70.4,0.08,102.9,AOK
M008,2024-05-13T10:07:33Z,77.0,0.12,106.4,WARN
M009,2024-05-13T10:07:38Z,75.5,0.17,110.9,CRIT
M010,2024-05-13T10:07:30Z,70.5,0.03,100.7,AOK
